Organization Legal Name or 'Doing Business As' Name,Group Practice PAC ID,State,Participating in eRx,Participating in PQRS,Controlling blood sugar levels in patients with diabetes.,Footnote for measure DM 15,Controlling blood pressure in patients with diabetes.,Footnote for measure DM 13,Prescribing aspirin to patients with diabetes and heart disease.,Footnote for measure DM 16,Prescribing medicine to improve the pumping action of the heart in patients who have both heart disease and certain other conditions.,Footnote for measure CAD 7
HERITAGE VALLEY MEDICAL GROUP INC,0042105678,PA, ,Y,,.,,.,,.,,.
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN, ,Y,81,.,89,.,94,.,97,.
LOUDOUN MEDICAL GROUP PC,0042119661,VA, ,Y,74,.,74,.,91,.,87,.
SAN DIEGO IMAGING MEDICAL GROUP INC,0143134353,CA, ,Y,,.,,.,,.,,.
"FACULTY PRACTICE FOUNDATION, INC BOSTON UNIV ORTHOPAEDIC SURGICAL",0143297655,MA, ,Y,,.,,.,,.,,.
"COLORADO CARDIOVASCULAR SURGICAL ASSOCIATES, P.C.",0143298786,CO, ,Y,,.,,.,,.,,.
CAROLINAEAST HEART CENTER,0143378117,NC, ,Y,,.,,.,,.,,.
AFFILIATED PATHOLOGY SERVICES PC,0244121143,NY, ,Y,,.,,.,,.,,.
NEWTON WELLESLEY AMBULATORY SERVICES,0244133494,MA, ,Y,,.,,.,,.,,.
PHYSICIAN ASSOCIATES LLC,0244135093,FL,Y, ,,.,,.,,.,,.
ADVENTIST ARTHRITIS CENTER,0244135762,IL, ,Y,,.,,.,,.,,.
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI, ,Y,,.,,.,,.,,.
AFFINITY MEDICAL GROUP,0244142420,WI, ,Y,80,.,81,.,73,.,66,.
SANFORD CLINIC,0244143824,MN,Y,Y,75,.,70,.,100,.,86,.
INTERNAL MEDICINE ASSOCIATES OF LUDINGTON PC,0244200566,MI,Y, ,,.,,.,,.,,.
"COGENT HEALTHCARE OF CALIFORNIA, PC",0244239598,CA, ,Y,,.,,.,,.,,.
LANDM MEDICAL GROUP INC,0244373330,CT, ,Y,,.,,.,,.,,.
HEALTHTEXAS PROVIDER NETWORK,0345138889,TX,Y,Y,,.,,.,,.,,.
"STONY BROOK SURGICAL ASSOCIATES, UNIVERSITY FACULTY PRACTICE CORPORA",0345143749,NY, ,Y,,.,,.,,.,,.
UNITED MEDICAL ASSOC PC,0345144978,NY, ,Y,,.,,.,,.,,.
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA, ,Y,72,.,68,.,78,.,78,.
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL, ,Y,,.,,.,,.,,.
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI, ,Y,74,.,82,.,94,.,94,.
UNIVERSITY INTERNAL MEDICINE INC,0345275491,RI, ,Y,,.,,.,,.,,.
AMERIWOUND LLC,0345498853,OH, ,Y,,.,,.,,.,,.
"BOSTON UNIVERSITY FAMILY MEDICINE, INC.",0446154074,MA, ,Y,,.,,.,,.,,.
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC, ,Y,,.,,.,,.,,.
"USC CARE MEDICAL GROUP, INC",0446157747,CA, ,Y,41,.,63,.,84,.,65,.
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI, ,Y,,.,,.,,.,,.
UNIVERSITY OF WASHINGTON PHYSICIANS,0446162697,WA, ,Y,71,.,66,.,70,.,76,.
THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,0446163760,LA, ,Y,57,.,55,.,89,.,76,.
"INPATIENT CONSULTANTS OF NEVADA, INC. A MEDICAL CORPORATION",0446218051,NV, ,Y,,.,,.,,.,,.
IMMEDICENTER,0446230718,NJ, ,Y,,.,,.,,.,,.
ASSOCIATE PATHOLOGISTS OF JOLIET LTD,0446260855,IL, ,Y,,.,,.,,.,,.
"DEDICATED TO WOMEN OB-GYN, P.A.",0446290456,DE, ,Y,,.,,.,,.,,.
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA, ,Y,75,.,65,.,,1,59,.
COUNTY OF MIDDLESEX,0547165904,NJ, ,Y,,.,,.,,.,,.
SPRINGFIELD CLINIC LLP,0547166076,IL, ,Y,,.,,.,,.,,.
SANFORD MAYVILLE,0547174880,ND,Y, ,,.,,.,,.,,.
HENRY FORD HEALTH SYSTEM,0547178311,MI,Y,Y,72,.,73,.,92,.,87,.
"SUBURBAN INTERNAL MEDICINE, INC.",0547203929,MA, ,Y,,.,,.,,.,,.
DERMATOLOGY ALLERGY GENERAL PHYSICIANS OF OHIO INC,0547244972,OH, ,Y,,.,,.,,.,,.
"THE DOCTOR IS IN, PA",0547246050,NJ, ,Y,,.,,.,,.,,.
ABOUTSKIN DERMATOLOGY AND DERMSURGERY PC,0547257552,CO, ,Y,,.,,.,,.,,.
"SPORTS MEDICINE NORTH ORTHOPAEDIC SURGERY, INC.",0547259095,MA, ,Y,,.,,.,,.,,.
PATHOLOGY ASSOCIATES OF MASON CITY,0648161067,IA, ,Y,,.,,.,,.,,.
BAPTIST PRIMARY CARE INC,0648177733,FL, ,Y,78,.,68,.,79,.,98,.
MEDICAL RESOURCE GROUP,0648180406,MI, ,Y,,.,,.,,.,,.
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,0648181156,NC,Y,Y,73,.,54,.,96,.,95,.
HOLY FAMILY MEMORIAL INC,0648183160,WI, ,Y,,.,,.,,.,,.
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,0648188250,TX,Y,Y,69,.,63,.,93,.,91,.
"SOUTHCOAST PHYSICIANS GROUP, INC.",0749171957,MA,Y, ,,.,,.,,.,,.
"ROCKFORD ORTHOPEDIC ASSOCIATES, LTD.",0749183713,IL, ,Y,,.,,.,,.,,.
QUINCY MEDICAL GROUP,0749192375,MO,Y, ,,.,,.,,.,,.
ENT AND ALLERGY ASSOCIATES LLP,0749193662,NY, ,Y,,.,,.,,.,,.
"ST. LOUIS PHYSICAL THERAPY, LLC",0749251510,MO, ,Y,,.,,.,,.,,.
"PRIMARY CARE OF THE TREASURE COAST, INC.",0749275931,FL, ,Y,,.,,.,,.,,.
"CHESAPEAKE BAY AQUATIC AND PHYSICAL THERAPY, INC",0749319788,MD, ,Y,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF OHIO, INC",0749357887,OH, ,Y,,.,,.,,.,,.
SHANNON CLINIC,0840103727,TX, ,Y,75,.,61,.,95,.,86,.
HOUSECALL PROVIDERS INC,0840196994,OR, ,Y,,.,,.,,.,,.
COLORADO SPRINGS HEALTH PARTNERS PC,0840198271,CO, ,Y,,.,,.,,.,,.
"DALTON MEDICAL ASSOCIATES, LLP",0840233219,MA, ,Y,,.,,.,,.,,.
GEORGIA CANCER SPECIALISTS,0840443164,GA, ,Y,,.,,.,,.,,.
ARNOT MEDICAL SERVICES PLLC,0840450748,NY,Y, ,,.,,.,,.,,.
LANCASTER GENERAL HEALTH PHYSICIANS SUSQUEHANNA FAMILY MEDICINE,0941103683,PA, ,Y,78,.,74,.,91,.,66,.
DURANGO ORTHOPEDIC ASSOCIATES INC,0941199830,CO, ,Y,,.,,.,,.,,.
WEST SHORE UROLOGY PC,0941215941,MI,Y, ,,.,,.,,.,,.
MUSKEGON SURGICAL ASSOCIATES PLC,0941262877,MI,Y, ,,.,,.,,.,,.
UROLOGY CENTERS OF ALABAMA PC,0941264345,AL, ,Y,,.,,.,,.,,.
KINSTON MEDICAL SPECIALISTS PA,0941283196,NC, ,Y,,.,,.,,.,,.
PATRICIA ROY D.O. PC,0941308639,MI,Y, ,,.,,.,,.,,.
"ASPIRUS CLINICS, INC.",1052223625,WI,Y,Y,75,.,69,.,93,.,66,.
SUTTER GOULD MEDICAL FOUNDATION,1052225976,CA, ,Y,76,.,77,.,84,.,73,.
INTEGRATED MEDICAL SERVICES INC,1052328408,AZ, ,Y,,.,,.,,.,,.
EPN HAMOT URGENT CARE LLC,1052443249,PA,Y, ,,.,,.,,.,,.
WOODLANDS MEDICAL SPECIALISTS P A,1052469681,AL, ,Y,,.,,.,,.,,.
UTAH PHYSICAL THERAPY SPECIALISTS,1052491636,UT, ,Y,,.,,.,,.,,.
THE HEART GROUP OF LANCASTER GENERAL HEALTH,1052507449,PA, ,Y,52,.,48,.,88,.,72,.
ERIE PHYSICIANS NETWORK UPMC INC,1052587268,PA,Y, ,,.,,.,,.,,.
"BENEFIS HOSPITALS, INC.",1153235296,MT, ,Y,,.,,.,,.,,.
SHORELINE ENT PC,1153413901,MI,Y, ,,.,,.,,.,,.
ST LOUIS PHYSICAL THERAPY,1153450515,MO, ,Y,,.,,.,,.,,.
"PROMEDICA GI PHYSICIANS, LLC",1153482682,OH,Y, ,,.,,.,,.,,.
HARTFORD HEALTHCARE MEDICAL GROUP,1153573902,CT,Y, ,,.,,.,,.,,.
"UNITED RADIOLOGY GROUP, CHARTERED",1254227671,KS, ,Y,,.,,.,,.,,.
MILL HILL MEDICAL CONSULTANTS,1254233836,CT, ,Y,,.,,.,,.,,.
LANCASTER GENERAL HOSPITAL,1254240039,PA, ,Y,73,.,72,.,81,.,63,.
BEACON MEDICAL GROUP INC,1254243306,IN, ,Y,,.,,.,,.,,.
"MCFARLAND CLINIC, PC",1254244239,IA,Y,Y,80,.,79,.,88,.,76,.
UUHC,1254244676,UT, ,Y,,.,,.,,.,,.
PROVISION LASER EYE CENTER PA,1254303670,FL, ,Y,,.,,.,,.,,.
INTERNIST ASSOCIATES OF IOWA,1355242496,IA,Y, ,,.,,.,,.,,.
PROHEALTH PHYSICIANS PC,1355246950,CT,Y, ,,.,,.,,.,,.
ALTRU HEALTH SYSTEM,1355251604,ND,Y,Y,75,.,77,.,97,.,82,.
BAYLOR HEALTH NETWORK,1355254210,TX,Y,Y,77,.,74,.,91,.,73,.
WEST WILSON FAMILY PRACTICE CENTER PC,1355319435,TN, ,Y,,.,,.,,.,,.
THE CORVALLIS CLINIC,1456244540,OR, , ,81,.,68,.,99,.,,2
WATSON CLINIC LLP,1456258979,FL, ,Y,77,.,64,.,68,.,80,.
"BOSTON UNIVERSITY OBSTETRICS AND GYNECOLOGY FOUNDATION, INC.",1456323153,MA, ,Y,,.,,.,,.,,.
"DIAGNOSTIC PATHOLOGY ASSOCIATES, LLP",1456323435,TX, ,Y,,.,,.,,.,,.
LRGHEALTHCARE,1456324649,NH, ,Y,,.,,.,,.,,.
ENT CAROLINA PA,1456363407,NC, ,Y,,.,,.,,.,,.
PHYSICIAN GROUP OF ARIZONA INC,1456439967,AZ, ,Y,,.,,.,,.,,.
WELLCARE PHYSICIANS GROUP LLC,1456442771,OH,Y, ,,.,,.,,.,,.
BRONSON HEALTHCARE MIDWEST,1456594316,MI, ,Y,81,.,79,.,,1,65,.
CHILD HEALTH FOUNDATION OF BOSTON INC,1557263340,MA, ,Y,,.,,.,,.,,.
FOND DU LAC REGIONAL CLINIC,1658289624,WI, ,Y,,.,,.,,.,,.
ESSE HEALTH,1658365572,IL, ,Y,,.,,.,,.,,.
LMG FAMILY PRACTICE P C,1759286172,PA,Y, ,,.,,.,,.,,.
VALLEY INTERNAL MEDICINE INC PS,1759288400,WA, ,Y,,.,,.,,.,,.
ALBANY MEDICAL COLLEGE,1759293111,NY, ,Y,,.,,.,,.,,.
"ESSEN MEDICAL ASSOCIATES,PC",1759353501,NY,Y, ,,.,,.,,.,,.
UNIVERSAL PAIN MANAGEMENT MEDICAL CORPORATION,1759369572,CA,Y, ,,.,,.,,.,,.
CLEVELAND CLINIC FOUNDATION,1850203555,OH,Y,Y,71,.,69,.,88,.,80,.
IHC HEALTH SERVICES INC,1850209420,UT,Y,Y,77,.,77,.,77,.,98,.
HOLY CROSS MEDICAL GROUP,1850298365,FL,Y,Y,73,.,74,.,70,.,55,.
CROUSE RADIOLOGY ASSOCIATES,1850387648,NY, ,Y,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF DELAWARE, INC",1850472390,DE, ,Y,,.,,.,,.,,.
FAIRVIEW HEALTH SERVICES,1951213057,MN,Y,Y,81,.,81,.,99,.,89,.
"UNIVERSITY OF ALABAMA HEALTH SERVICES FOUNDATION, PC",1951213107,AL,Y,Y,65,.,62,.,89,.,65,.
WELLSPAN MEDICAL GROUP,1951213115,PA,Y,Y,80,.,76,.,95,.,83,.
INPATIENT CONSULTANTS OF MISSOURI INC,1951213578,MO, ,Y,,.,,.,,.,,.
MAIN LINE HEALTHCARE,1951215201,PA, ,Y,,.,,.,,.,,.
"BOSTON UNIVERSITY MALLORY PATHOLOGY ASSOCIATES, INC.",2062301807,MA, ,Y,,.,,.,,.,,.
HARVARD UNIVERSITY HEALTH SERVICES,2062303894,MA, ,Y,90,.,85,.,,1,,1
PARK PLACE BEHAVIORAL HEALTH CARE,2062313703,FL, ,Y,,.,,.,,.,,.
UPMC COMMUNITY MEDICINE INC,2062318975,PA,Y, ,,.,,.,,.,,.
JOINT REPLACEMENT INSTITUTE LLC,2062572720,FL, ,Y,,.,,.,,.,,.
ALAN C EGGE MD PC,2062598840,VA, ,Y,,.,,.,,.,,.
SUMMIT MEDICAL GROUP INC,2163326240,KY,Y,Y,,.,,.,,.,,.
NORTHSHORE UNIVERSITY HEALTHSYSTEM FACULTY PRACTICE ASSOCIATES,2163334699,IL,Y,Y,83,.,72,.,84,.,81,.
"HOSPITALISTS OF ARIZONA, INC",2163335290,AZ, ,Y,,.,,.,,.,,.
NORTHEAST COLON AND RECTAL SURGEONS,2163336967,IN,Y, ,,.,,.,,.,,.
"BOSTON UNIVERSITY MEDICAL CENTER OTOLARYNGOLOGIC FOUNDATION, INC.",2163409400,MA, ,Y,,.,,.,,.,,.
"CERTIFIED ALLERGY CONSULTANTS, PC",2163413808,NY,Y, ,,.,,.,,.,,.
CENTRAL INTERNAL MEDICINE PSC,2163483108,KY, ,Y,,.,,.,,.,,.
"STONY BROOK PATHOLOGISTS, UNIVERSITY FACULTY PRACTICE CORPORATION",2163502162,NY, ,Y,,.,,.,,.,,.
URGENT CARE @ ROBINWOOD,2163582974,MD, ,Y,,.,,.,,.,,.
SUSQUEHANNA PHYSICIAN SERVICES,2264336460,PA, ,Y,,.,,.,,.,,.
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,Y,71,.,75,.,92,.,69,.
"ASSOCIATED RETINAL CONSULTANTS, PC",2264344746,MI,Y, ,,.,,.,,.,,.
MARSHFIELD CLINIC,2264345206,WI,Y, ,,.,,.,,.,,.
"HOUSE CALL MEDICAL SERVICES OF NEW YORK, PLLC",2264517754,NY, ,Y,,.,,.,,.,,.
KENNESAW FAMILY PHYSICIANS,2264531383,GA,Y, ,,.,,.,,.,,.
"INPATIENT CONSULTANTS OF GEORGIA, INC",2264539618,GA, ,Y,,.,,.,,.,,.
PROMEDICA CENTRAL PHYSICIANS,2365348190,OH,Y, ,,.,,.,,.,,.
"SIU PHYSICIANS AND SURGEONS, INC",2365352820,IL,Y,Y,65,.,65,.,83,.,71,.
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,TX, ,Y,,.,,.,,.,,.
COLLIER NEUROLOGIC EASE- BACK AND HEADACHE CLINIC,2365434487,FL, ,Y,,.,,.,,.,,.
INOVA HEALTH CARE SERVICES,2466351093,VA, ,Y,,.,,.,,.,,.
IHA HEALTH SERVICES CORPORATION,2466351440,MI, ,Y,80,.,76,.,92,.,76,.
MID-ATLANTIC FAMILY PRACTICE,2466354188,DE, ,Y,,.,,.,,.,,.
"EASTERN RADIOLOGIST, INC",2466355383,NC, ,Y,,.,,.,,.,,.
"MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION, INC",2466365820,MA,Y,Y,,.,,.,,.,,.
FACULTY PRACTICE FOUNDATION INC,2466421367,MA, ,Y,,.,,.,,.,,.
BRIELLE ORTHOPEDICS PA,2466446265,NJ, ,Y,,.,,.,,.,,.
"INOVA PHYSICIAN PARTNERS, INC.",2466581772,VA, ,Y,,.,,.,,.,,.
"MEDICAL PRACTICES OF ANTIETAM, LLC",2567353865,MD, ,Y,,.,,.,,.,,.
PRIMACARE PC,2567356017,MA, ,Y,,.,,.,,.,,.
"MILFORD MEDICAL ASSOCIATES, PA",2567363740,DE, ,Y,,.,,.,,.,,.
NORTHFIELD HOSPITAL,2567372998,MN, ,Y,,.,,.,,.,,.
DOSHI DIAGNOSTIC IMAGING SERVICES P.C.,2567375033,NY, ,Y,,.,,.,,.,,.
UT PHYSICIANS SPECIALTY SERVICES,2567544570,TX, ,Y,67,.,62,.,61,.,84,.
JACKSON CLINIC PA,2668376872,TN, ,Y,,.,,.,,.,,.
OHIO PHYSICIAN PROFESSIONAL CORPORATION,2668406059,OH, ,Y,,.,,.,,.,,.
"WINTHROP PEDIATRIC ASSOCIATES, P.C.",2668443201,NY, ,Y,,.,,.,,.,,.
ENT MEDICAL CENTER,2668450644,LA, ,Y,,.,,.,,.,,.
"THE LONGSTREET CLINIC, PC",2668465733,GA,Y,Y,84,.,72,.,91,.,81,.
"ADAMS INTERNISTS,P.C.",2668490608,MA, ,Y,,.,,.,,.,,.
"ASSOCIATED SPECIALISTS OF SOUTHEASTERN CONNECTICUT, INC.",2668552787,CT, ,Y,,.,,.,,.,,.
NORTH FLORIDA SURGEONS P. A.,2769381391,FL, ,Y,,.,,.,,.,,.
"CENTRAL OHIO PRIMARY CARE PHYSICIANS, INC.",2769383785,OH, ,Y,,.,,.,,.,,.
PHYSICIANS PRIMARY CARE OF SOUTHWEST FLORIDA PL,2769389675,FL, ,Y,,.,,.,,.,,.
BLESSINGCARE CORPORATION,2769420959,IL, ,Y,,.,,.,,.,,.
BOSTON UNIVERSITY PLASTIC SURGERY ASSOCIATES INC,2769459825,MA, ,Y,,.,,.,,.,,.
LITTLE RIVER HEALTHCARE,2769487115,TX, ,Y,,.,,.,,.,,.
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA-OU PHYSICIANS,2860304334,OK,Y,Y,,.,,.,,.,,.
CAPITALCARE MEDICAL GROUP LLC,2860305802,NY, ,Y,,.,,.,,.,,.
TRI COUNTY EYE PHYSICIANS,2860393279,PA, ,Y,,.,,.,,.,,.
TIDEWATER PHYSICIANS MULTISPECIALTY GROUP,2860398526,VA, ,Y,,.,,.,,.,,.
NMPG,2860399698,IL,Y, ,,.,,.,,.,,.
YORK HOSPITAL,2961307467,PA, ,Y,65,.,77,.,95,.,,1
WICHITA CLINIC PA,2961314497,KS, ,Y,77,.,67,.,90,.,73,.
"UNIVERSITY PHYSICIANS AND SURGEONS, INC",2961315734,WV, ,Y,,.,,.,,.,,.
HEALTHTEXAS PROVIDER NETWORK,2961486089,TX, ,Y,81,.,80,.,92,.,83,.
RIVERSIDE MEDICAL CLINIC,2961492327,CA,Y,Y,75,.,66,.,72,.,82,.
"PREMIER PHYSICAL THERAPY AND SPORTS PERFORMANCE, LLC",2961505243,DE, ,Y,,.,,.,,.,,.
TEXARKANA REGIONAL HEALTHCARE NETWORK,2961540083,AR, ,Y,,.,,.,,.,,.
"NORTHEAST ARKANSAS CLINIC CHARITABLE FOUNDATION, INC.",2961547526,AR, ,Y,,.,,.,,.,,.
NORTH SHORE LIJ MEDICAL GROUP AT SYOSSET PC,2961687504,NY,Y, ,,.,,.,,.,,.
BLESSING HOSPITAL,3072422534,IL, ,Y,,.,,.,,.,,.
NAZARETH PRIMARY CARE,3072425123,PA, ,Y,67,.,74,.,82,.,67,.
"THE MONROE CLINIC, INC.",3072425495,WI, ,Y,,.,,.,,.,,.
TRINITY CLINIC PSYCHIATRY,3072426741,TX,Y,Y,76,.,65,.,76,.,83,.
"THE EAR, NOSE, AND THROAT CLINIC AND HEARING CENTER",3072518992,MN, ,Y,,.,,.,,.,,.
DURHAM NEPHROLOGY ASSOCIATES PA,3072589027,NC, ,Y,,.,,.,,.,,.
COAST RADIOLOGY AND MEDICAL IMAGING MEDICAL GROUP,3072599448,CA, ,Y,,.,,.,,.,,.
FRANCISCAN PHYSICIAN NETWORK,3072790682,IL, ,Y,,.,,.,,.,,.
ST JOHN HOSPITAL AND MEDICAL CENTER,3173424082,MI, ,Y,,.,,.,,.,,.
